group,participant_id,percent_correct_Color,percent_correct_Gray,ranked_performance_Color,ranked_performance_Gray,logit_color,logit_gray
Control,0,91.0,89.0,28.5,27.0,2.313634929180631,2.0907410969337694
Control,1,97.0,96.0,36.5,35.0,3.4760986898352724,3.178053830347945
Control,2,100.0,95.0,39.5,33.0,4.595119850134589,2.9444389791664394
Control,3,56.0,66.0,13.0,17.0,0.24116205681688824,0.6632942174102643
Control,4,95.0,99.0,33.0,38.0,2.9444389791664394,4.595119850134589
Control,5,88.0,81.0,26.0,21.0,1.9924301646902063,1.4500101755059986
Control,6,97.0,91.0,36.5,28.5,3.4760986898352724,2.313634929180631
Control,7,100.0,95.0,39.5,33.0,4.595119850134589,2.9444389791664394
Control,8,93.0,84.0,31.0,24.0,2.5866893440979433,1.6582280766035322
Control,9,92.0,86.0,30.0,25.0,2.442347035369205,1.815289966638249
Prakash,10,53.0,50.0,12.0,10.5,0.12014431184206341,0.0
Prakash,11,82.0,70.0,22.5,18.0,1.5163474893680882,0.8472978603872034
Prakash,12,82.0,72.0,22.5,19.0,1.5163474893680882,0.9444616088408513
Prakash,13,65.0,50.0,16.0,10.5,0.6190392084062236,0.0
Prakash,14,38.0,26.0,6.0,2.0,-0.4895482253187058,-1.0459685551826876
Prakash,15,58.0,43.0,14.0,7.0,0.32277339226305085,-0.2818511521409879
Prakash,16,74.0,46.0,20.0,8.0,1.0459685551826876,-0.16034265007517937
Prakash,17,28.0,12.0,3.0,1.0,-0.9444616088408512,-1.9924301646902063
Prakash,18,36.0,32.0,5.0,4.0,-0.5753641449035618,-0.7537718023763801
Prakash,19,61.0,49.0,15.0,9.0,0.44731221804366483,-0.04000533461369925
